Jan,Nov
Fourteen Eleven Tea Cafe,Flavaro Vada Pav
Haveliram,Shamm-e-Lucknow Kebabi
Uttrakhand Food Corner,Sunday Biryani
PSR Foods,Delli Zaika
The Taste,Indianspoon
Dilli Darbar Dhaba,Darjeeling Special Momos
Shri Bala Ji Rasoi,Punjabi Zaika
Thinking of You,Choco Crunch
VK Food Court,Chennai Xpress
Hao Shi Nian Niann,Chic Fillet
Sweet Sensations,Mona Ice Cream Parlour
Madhoolica,Quality Restaurant
OMG Tiffinz,Chinese Hot Spot
Sardaar Ji Ka Hotel,Choco Mozart
Baker's by Modi,ToLoveFromLove
Shamm-e-Lucknow Kebabi,Al- Hafeez Restaurant
Swaad Restaurant,Kissan Shakti
Gurgaon Spice,PSR Foods
Sultan Darbar,Cascabel
Chennai Cafe,7 Star Rasoi
Indian Veggie Express,New Jimmy Kitchen
Cafe Brewbug,Hotel Green View Palace
Darjeeling Special Momos,Deli Chic
Rahmaan,Punjabi Tadka
Mehar Chocolates,K's Kitchen
The garden bakery & cafe,Shivaay
Basement,Pakwaan
Red Chilli Chinese Food,Little Ninja
Cuts & Curries,Janta Canteen
Pakeeza Restaurants,Creamy Creation
Granny's Kitchen,Om Baker
Cafe Heroes,Narayan Fast Food Home
Arora Juice Corner,Airborne
Grills N Chills,Yadav Sweets Corner & Paneer Point
Chand Chicken Corner,Potlee Biryani
Hotel Aditi & Restaurant,South Indian Swaad
Quality Restaurant,Annapurna Vaishno Dhaba
Shree Shyam Vaishno Bhojnalaya,Alwar Mikcake
Satvik Sweet & Restaurant,Green Mirchi
Land of Wheat,Brahm Point Fast Food
Kabab Mistri,Singh Pizza Point
Kolkata Kathi Roll,Tejas Cake Palace
AK Your Food,The Chaiwalas
Smart Cook,SMA Chicken Corner
Bikaner Sweets & Restaurant,Chinese Hot Express
Rama Fast Food,The Grand Kitchen
Rancho's Eatery,The Krustt Caffe
Sweet Palace,The Chinese Bowl
Chicken Khurana's,Bottoms Up
Al Kadeer Chicken Corner,Platters
Madan Sweets & Bakers,Dolce Gelato
Maa Vaishno Dinesh Dhaba,Hotel SPB 87
Chill Grill,A1 Cheese Mania
Indian Restaurant,Ghar Ki Mess
Punjabi Delight,The Tandoori Village
Food Cafe,Chinese Food
Sonu Vaishno Rasoi,Sandwichai
Muskan Chicken Biryani,The Urban Dhaba
Shamshad Parathey Wale,Golden Plate
Bitoo Chat Corner,Monica's Simply South
Eighty Seven Foodies,Bodh Chefingo
Avtar Vaishno Dhaba,New Jaika
The Kitchen King,Mukesh Bhojnalaya
Chang Fast Food,Karol Bagh Ke Chhole Bhature
Motuu's Qila,Aggarwal Sweet Corner
Happy Bites Restaurant,Kake Di Rasoii
Desi Chull,Sardar Ji
Italiano's Rock Cafe,Sweet Sensations
The Celiac Kitchen,Zavis
Rohan Vaishno Dhaba,Cafe Hide Out
Pistawala Sweets & Snacks,Hungry Buddies
Kwality Cafe,Shahi Chicken Biryani Corner
Red Chilli Dosa Corner,Hungry Singh
Everest Restaurant,Celebration
Food Corner,Allishan Family Restaurant
Desi Tadka,Bengal Sweets Corner
Food Street,Al Naseem Foods Shawarma
Best Chicken Corner,Heroes
Night Munchies,Mohan Chaat Corner
Shri Hari Chhole Bhature Corner,Aanya Food on Call
The Chinese Kitchen,Pizza Planet
MD Kitchen,On Junction
Hanover Chinese Fast Food,Sandwiches 'N' More
Chinese Tadka,Rahul Bakers
Amritsari Naan Wala,Madan's Kitchen
Punjab Da Zaika,Flying Kukkad
Chic Fillet,Food Hub
Amritsarian Da Punjabi Dhaba,Sagar Food Palace
Cafe' 37,Yadav Sweets
Balaji Vegetarian Restaurant,Shree Shyam Sweets & Restaurant
Bodh Chefingo,Shah Ji Da Dhaba
Al-Rihan,Al- Laziz
Laxmi Caterers & Bikaner Sweets,Prahlad Snacks Corner
Kitchen Curry,Chatori Zubaan Chur Chur Naan
Shahi Muradabadi & Hyderabadi Chicken Biryani,Deliverywala
Aajaa Khazaa,Rapture's Starvy
The Taste of Tandoor,Shahi Dawat
Dosa Corner,Celebells
New Madras Cafe,Apni Rasoi
Gupta Ji Sweets & Namkeen,Brown Town
Rawat Bhojanalaya,The Masterpiece Cafe
Mom's Magic Cafe,Halal Pizza Star
A-One Chilly Chicken,Lovely Peg Point
Hot & Juicy,Mughlai Restaurant
Eat Healthy,Onion Rings
Tangy Spice,Dim Sum Delights
Ghar ka Dhaba,Kulcha Junction
Viceroy - The Coffee Shop,Noodles Hot
Food Heaven,Loknath Sweets
Chinese Junction,Chicken Corner & Biryani
Chhotu Restaurant,Yo Hot Chinese
Chatori Jeebh,Dwarka Food Street Express
Popcorn Fusion,Cake N Gifts
Noddy's,Chai Adda
Chicken N Cheese,Choudhary Burfi Wala
ABC Restaurant,Himalayan Restaurant
The Wok,Shree Ram Dhaba
Bikaner's Sweets Snacks & Multi-Cuisine,Swad E Punjab
Sher-E-Punjab Hotel,Flavour Of London
Asian Bowl,Rajdhani Restaurant
Chili,Av's Pizza
Baba Ji Caterers,Sushil Punjabi Vaishno Dhaba
Shandaar Indian Restaurant,Standard Sweets
Makhan Lal Tika Ram,Sugar Threads
Kwality Walls - Happiness Station,Joe Deliverz
Mehphil,Food Point
Goli Vada Pav No. 1,The Royal Prestige
Retro Punjab,Globe Cafe
Bikaneri Sweets & Restaurant,Sweet Palace
Platefull,Bismillah Muslim Hotel
Chawla's Corner,Punjabi Dhaba
Shri Balaji Shudh Vaishno Dhaba,Papillon Fast Food
Piyu Fast Food,Bikaner Mishthan Bhandar
Johniee's Kitchen,Zaika Fast Food
Shri Bikaner Misthan Bhandar,Shree krishna udupi
Special Tea Point,Shree Annapurna
Ganga Restaurant,Snacks Junction
RR China Tawun,Jayak
Celebration,The Parantha Corner
Pooja Home Food,Kashyap's
Mumtaz Kitchen,Bikaner Sweets
Vicky Chinese Corner,Real Celebrations
Dwarka Food Street Express,Best Chicken Corner
Dragon Cafe,10 The Best New Restaurant
Thirsty Bird,White Fumes
Anupam Eating Point,The Handi Restaurant
T&C Co.,Raj Petha Bhandar
Zayka chicken restaurant,Mayur Family Point
Seven Star Pizza,Shree laxmi Dosa Corner
Saini Sweet Corner,Raju Di Kulfi
Monica's Simply South,Shiva Caterers
Tandoor & Curry Restaurant,Ganga Restaurant
Chinese Hut,Kanha ki Rasoi
Artusi,Ludhiana Wala
Yo Hot Chinese,Om Restaurant
Sethi's Express,Chicken N Cheese
Yummy Tummy,Chin Din
Swad Punjab Da,Raju Chowmein Corner
Aggarwal Sweets & Snacks,Chocoaffairzz
Vasant Food Valley,Prince Ki Special - Multani Moth Kachori
Ram Prakash Chaat Bhandaar,Manish Bakery
Baba Chinese Fast Food,Perfect Chicken & Chinese
Gopal Wala,Burgers Point
Deshi Chinese,Rohit Chinese Food Corner
Hotel Green View Palace,Dhaba Food
Alam Muradabadi,Love Desserts
Al- Hafeez Restaurant,Indian Sweets & Baker
New Shalimar Cafe,Annapurna
Aggarwal Sweets,Kona Kona
Cake Walk,Tullis Bakers
Desi Chinese,Hot N Spicy Chinese Fast Food
Kitchen Namaste,Land of Wheat
Biryani House,Meat Craft
South Food Corner,Pappe Da Dhaba
Jagdish Dhaba,Food4U!
Asli Alam Muradabadi Chicken Biryani,Spice Chinese Food Point
All About Food,Heera Chicken
Choco Mozart,Food 'O' Clock Special
Aha Bites,China Hut
Best In Burgers,Dosa and Pizza Corner
Aggarwal's Bikaner Mishthan Bhandar,New Cafe
Pakiza Muradabadi,Food Court
Chill,Popcorn Fusion
Illusion - Clark's Inn,Crazy Triangle
Food Daddy,Gelato Italiano
Chazka,Let's Eat
Aunty Kitchen,Profit Kitchen
Pops,Shri Krishna Rasoi
King's,Chef's Basket Pop Up Café
Swaad - The Punjabi Taste,Vohra Bhojnalaya & Fast Food
Mr. Gelato,Goodwill Cafe
A- One Chicken Briyani,Ujala Tikki Wala
The Yummy Tales,Mumbai Zaika
Shudh Vaishno Dhaba,Fry Centre
Globe Cafe,Delhi Chaat Corner
Fresh Food Point,Food Plaza
Tiffino Mania,The Retriever
Ghar Jaise Rasoi,Kati Roll Cottage
Sai Samrat Bakery,Paniel Restaurant
Food4U!,Shama Biryani House
SKC,Shaney Awadh Biryani Center
Cake Bake,Any Time Fresh Shahi Punjabi
Chawla Chik-Inn,Bombay Bhel Puri
Choudhary Burfi Wala,Arjun Restaurant
Rudra The Dhaba,Foji Bhai Hotel
Spice Garden,Royale Bakers
Call For Cuisine,Talli Food Factory
Apni Rasoi,Kitchen Namaste
Prem Juice Corner,Gohana Famous Jalebi
Ashish Burger Point Chinese Fast Food Corner,Lazeez Kathi Rolls
Khan Tandoori Nights,Yummy Foods
Dilli Dawat Restaurant,Vrindavan Restaurant
Janta Dhaba,King's Food
Chickenette,Nukkad Rasoi
Tandoor on The Way,Cafe Cappuccino
The Adda,Milan Apna Dhaba
KC Chinese FastFood,The Secret Cafe
Shakun Flavourez,Shree Radhe Shyam Food Corner
Chander's,Granny's Kitchen
Ashish Mess,Bengal Sweets
Avatar Da Dhaba,Mama's Cafe
Menakha's,Kith N Kin Food Plaza
Chinese Food,Affamato
Chinese Hot Express,Chinese Hut
Yo! China,Tandur
Indo Kulfi,V S Cafe
Little Delhi,Sadabahar Shudh Vaishno Bhojnalaya
Foodies,Puspa Chinese Fast Food
Sultan Foods,Heart Beat
Bawa's - The Journey of Spice,Shree Balaji Bhojnalaya
Pizza Corner,Akash Chinese Fast Food Corner
Gohana Famous Jalebi,Mumtaz Kitchen
Zaika Muradabadi,Khalsa Dhaba
Mama's Cafe,Indian Rasoi
Sharma Sweets,Ashish Burger Point Chinese Fast Food Corner
Mehra Dhaba,Ojas Bakers
New Laziz Chicken & Kabab Corner,Prelibato
Coffee King,Top Burger
The Lazeez Kitchen,Ganga Food Factory
VP ki Kitchen,China Hut
On Junction,Indo Chinese Fast Food Corner
Love Triangle,A.S. Burger Point
Bhatia's Food,Punjabi Delight
The South Indian Cafe,Marck Foods Industries
Rao Chinese Hut,U.S Burger Point
Famous Parantha and Poori Sabzi,New Garden Hut
Bikaner Restaurant,KT'S Kitchen
9 is Mine,Sai Samrat Bakery
Food Gorilla,Kabab Mistri
Shahi Muradabadi,Gourmet Delight
Punjab Darbar,The Green Chilly
Asha Kitchen,Sangmo Cuisine
Bajaj Vaishno Dhaba,Shudh Vaishno Bhojnalya
Rahul's Kitchen,Hari The Cake Shop
Patty King,Dilli Da Dhaba
VCW Chaap N Chinese,Happy Bites Bakery
Special Chicken Biryani,Tasty Tandoor
Aanya Food on Call,Dinesh Ka Mithila Dhaba
LBPS Chinese & South Indian,Punjabi Vaishno Dhaba
Shree Krishna Udupi,Shree Ram Poori Wale
Sugar Threads,Mio Gelato
Rupa Ice Cream Parlour,Vega Joint
Food Expresso,SPL Foods Plaza
New Aggarwal Sweets & Fast Food,Snack Shack
Bizzare Bites,Mahakali Food Corner
Maple Rasoi,Punjabi Flavour
Sam's Bake Shop,Snack Street
Chinese By Nature,Welcome Family Restaurant
Bhavna Food Corner,PSW ka Dhaba
Manocha Bakers,Food For Soul
Frozen Hut,Uma Foods
The Delicious Kitchen,Street Food Partner
Madras Cafe,Foodoze
Bon Vivant,Lavi Foji Dhaba
U.S Burger Point,Kolkata Food Point
Sansar Hotel,Sheetla Maa Tiffin Service & Caterers
B.M.H Food,Yummy Chinese Food
Deep Chicken,Aahar Hotel
Raj Shudh Vaishno Dhaba,Mogambo Kitchen
Hut-K Foods,Shri Bala Ji Restaurant
Shama Chicken Corner,Wonders of Meat
Le Kitchen Cafe Rooftop Restaurant,Chilli & Crunch
Hot Spot,Chauhan Dhaba
D.A.A.,The Pastry Lounge - Leisure Inn
Khushi Restaurant,Massi's Kitchen
Chini Bowl,Al Zaitoon
Shri Krishna Rasoi,Hot & Juicy
The Rooster Point,Nirankar Restaurant
Chai Baar,Ganesh Bikanerwala
South Indian Delights,Mathura Lassi Wala
The Hungry Hub,Mr. Chawla's Cakes & Bakes
Vaishno Rasoi,Shri Shyam Rasoi
Pizza Street,Amritsarian Da Punjabi Dhaba
Balaji Food Corner,Bigbee
Burger Xpress,The Night Owl
The Night Owl,Midnight Sheesha Reloaded
Cafe Hideout,Nut Khut Food Court
Mom's Tiffin,Rohan Vaishno Dhaba
Mani's Cafe,Neo Urban Pizza Snacks & Chinese Food
Momos And More,U' Day- The Lassi Cafe
Paresh Fast Food Centre,Dus Bab
Dabas Ke Special Chole Bhature,Hotel Aditi & Restaurant
Punjabi Dhabha,Tiffin Junction
Amritsari Kulcha Junction,Al-Nawab
Dosa House,Little Delhi
Balaji Hotel,Chanson Chicken
Zavis,Shri Vaishno Bhojanalaya
Catchup Green,D Chilli Dragon
Brahm Point Fast Food,Biddya Chinese Fast Food
Kwality Corner,Crazy China Express
The Cuisine,Majeed's
China Town,The Skullzz Cafe and Lounge
Hahn's Kitchen,P4 Parantha
Just Yumm Food Junction,Kavya Zaika
The Rolling Stove,Moet's Barbeque
Food En Vouge,Rawal Fast Food
Shiv Bakery,Shahi Angeethi
Noodles Hot,HS China Tawun
Mamma Drools,Bon Vivant
Cakes & More,Shahi Chicken Corner
Alok Dhaba,Mr. Baker's
China Hut,Pokhara Restaurant
Jannat Bar & Restaurant,HYM365
Amit Dhaba,Street Cafe
Malik Chicken Corner,Pooja Home Food
Beyond Food,Tulsi Ram Chinese Hut
Mother Kitchen,Sweet Sins
Bikaner Sweets & Bakers,Meat Ke Dheet
My Box Meal,Food Connect
Wah G Wah,Catchup Green
Annapurna Restaurant,Healthy Food Window Cafe
Heroes,The Night Owl
It's ChaaTime!,Lazeez Zaika
Zaika,Jyoti Sweets
Maa Sheetla Sweets & Caterers,Farhan Chicken Corner
A-One Food,Singh's Ice Cream Parlour
Raju Chowmein Corner,Cake Walk
Lavi Foji Dhaba,Singh Cafe
Mr. Billiken,Mehta Roll Corner
River Of Curry,Lucky Baba Dhaba
Curzon - The Royal Bar,Shahi Chicken Corner
Standard Sweets,Keichha
Massi's Kitchen,Shudh Vaishno Dhaba
Puran Singh Da Dhaba,Foodieholic
Fitness Fuel Fresh Fruit Juice And Shakes,Maurya Restaurant
Janta Canteen,Ck Gaming Lounge & Cafe
Foody Goody,Iqbal's Mughal Cuisine
Saanwariya Foods & Caterers,Kolkata Kathi Roll
De Paris Bakers,Roll Hub
New Pishori Chicken Kabab,Rolls & Gravies
Moji Dhaba,Shri Balaji Vaishno Dhaba
Ojas Bakers,Shophouse by Kylin
Wow Food Corner,Ayush Dhaba
Raja Dhaba,Sahel
Ram Pal Dhaba,Maurya Cafe
La Jabab,Baba Chinese Fast Food
China Street Express,Lucknowi Chicken Darbar
South Indian Restaurant,Daawat-e-Lucknow
Moradabadi Chicken Biryani,Aggarwal Sweets
Zorba Da Dhaba,Thinking of You
Rohit Chinese Food,Kitchen Klub Bar Restaurant
Ramesh Caterers & Dhaba,Da Fusion Dhaaba
South Indian Food Corner,The Celiac Kitchen
D-Box,Pizzaqo
Lazeez Zaika,KP's Fatafat Food
ShackZ,Naaz Chicken Point
Punjabi Tadka,New Sharma Bakers And Confectioners
Food Junction,Da Pizza Club
Saravana Mess,Northeast Fusion Cafe
Krishna Chinese Food,Mahfil Restaurant
Ok Indian & Chinese Food Corner,The Chaap World
CHD Restaurant,Delhi Foods
Paharganj Ke Mashoor Amritsari Naan,Pistawala Sweets & Snacks
The Parantha Corner,Sardar Ji Take Away & Caterers
K.G.N,Noddy's
Laxmi Dairy,Rancho's Eatery
Aggarwal Sweets,SFC Soya Chaap
The Roast House,Singh Fruit Ice Cream
Chinese Chaska,Spicy Affair
Lacus Bar,Sahani foods
Royal Chinese,Delicious Eating Corner
Laziz Chinese Fast Food,Mummy's Yummy's
Shudh Vaishno Bhojanalaya,Blenders
Sethi's,Bikaner Sweets
Navab's,Super Restaurant
Dairy Goodness,Shamshad Parathey Wale
New Anna Ka Dosa,Shri Radhey Chinese Food Corner
Shahi Zaika Chicken Corner,Rahul's Kitchen
Sweets n Treats,Food Indian & Chinese Xpress
Foji Bhai Hotel,The King Chicken Point
Hogs & Hardy,Hot & Healthy
My Bullet Cafe,Al-Rihan
Amritsari Express,Al Mughal
Food Junction,Manish Chicken Corner
Aggarwal Sweet Corner,Tandoori Chinese
Just Veg,Classy Cafe Salon
Paramount Retreat,Burger Theka
Dinesh Ka Mithila Dhaba,Nani Ki Rasoi
Goldy Chat Bhandar,Onstreet
Hot & Juicy,Pizza Terminal
Nothern Flavour,Sity Wok
Ram Krishna Bikanerwala,Aggarwal Sweets
Moti Dhaba,Jagdamba Vaishno Dhaba
Bengal Sweets Corner,A One Rasoi
Swami Krishna Fast Food,Punjabi Zaika
JHM Pizza Cafe,Spice Garden
Ghar Ka Khana,Grills N Chills
Baba Albela Foods & Kathi Rolls,Khurana Fruit Icecream
Hunger Field,Gohana Famous Jalebi
The Chaiwalas,King's
Punjab Junktion,Amritsari Naan Wala
Coffee Soon!!,Desi Kitchen
South Indian,Rafchick Biryani
Maduraiwala New South Indian Fast Food,Rakesh Chinese Corner
Crazy Chef,Awesome Food Delites
Wimpy Sweets And Confectioners,Chinese Chaska
Lajwab Food Point,Asia
Eat 'n' Treat,Frozen Hut
Kalka's Food Centre,Amritsari Adda
Volka's Restaurant,Punjabi Zaika
Raju Da Chinese Food,Hot & Spice
Pandit Dhaba,Lemonier
House Of Delicious,Baba Ka Dhaba
Maurya Restaurant,Rupa Ice Cream Parlour
Kitchen Express,Welcome Dhaba
Mohanty Bakery & Confectionery,Khana Khazana
Pizza Way's,Bikaner Sweets & Restaurant
New Zaika Biryani Point,"Satyam Juice, Shake, & Food"
Student Corner,Ravi Restaurant
Khopcha,B2D Foods
Jammu Ke Mashoor Naan,Unique Burger
Traditional Kulfi,Delight Food
Spicy Food Court,Take-n-Taste
Chef's Basket Pop Up Café,A-One Food
N E Great Foods,Red Chilli Chinese Food
Scoopers 'n' Bakers,Tandoori Khazana
Ram G Samose wala,Sagar Narula Fast Food
China Wok,Food Hut
Helping Hand,Sweet Spells
Jeete ki Kadayi,Chinese Chop Stick
iHf Delite Punjabi,Pizza Hub
Pizza Fresh,Malhotra Bakery
Dilli 51 Cafe,Satnaam Foods
The Taste of China,i2chef
Food Tashan,Rama Desi Ghee Meat Wala
Orange Food Cart,Kaka De Dhaba
Tandoori Nature,Nimtho
Punjabi Cold Corner,Moon Bite
My Corn,Kathi Roll Corner
Tandoori Chinese,Aujla's Punjabi Zaika
Brother's Bakery,Jsr Bake And Hubs
See Bite,New Madras Coffee House
Shri Balaji Shudh Vaishno Dhaba,Raju Da Dhaba
Food For Soul,King Veg & Non Veg Corner
Shivam Dhaba,Mannu Da Chabara
Pizzaway's,The Chinese Kitchen
The Crazy Hawkers,Ashok Di Shudh Vaishno Rasoi
Indian Food Corner,Dabas Ke Special Chole Bhature
Shree Radhe Ki Rasoi,Shankar Sweets
10 The Best New Restaurant,Western Way Pizza & Grillz
Shri Ram Dhaba,Kiran Chinese Fast Food
Alakhnanda Reataurant,Aravalli Owls
Just Ice,Maa Sheetla Sweets & Caterers
Kolkata Kathi Roll,The Regal Chicken Corner
Prem Rasoi,Foodiestan
Punjabi Flavour,Bollywood Khana
Lite Bites,Mini China Fast Food
Two Friends Roll Corner,Orion Chocolates
Ashok Di Shudh Vaishno Rasoi,King's Food
Gulati's Takeaway,Kafle Palace
Rapti Express,VCW Chaap N Chinese
AM Fast Food,Gopal Wala
South Indian Dosa Corner,Grill Mania Punjabi
Kebabish,Rahul
Joe Deliverz,Khanabdosh
Sholty Restaurant,Coconut Anna
Sonia Sweets & Restaurant,Muradabadi Shahi Biryani
Simply Ghar Ka,The Food Blaze
Happy Bakery,Volka's Restaurant
Om Sai Pizza Point,Ecoz Fast Food
Grover Eating Point,Chinese Hut
Janta Hotel,Raj Shudh Vaishno Dhaba
Lucknowi Chicken Darbar,Tiffino Mania
Bajrang Misthan Bhawan,Krishna Food Point
Pizza & Burgers,Zaika-E-Chaap Express
Just Spice,Khan Tandoori Nights
Italian Crunch,Sip N Snax
Foodiezz Planet,Hungry Heights
Ravi Restaurant,VK Food Court
Al Kareem Chicken Corner,Deshi Chinese
Naaz Chicken Point,Annapurna Restaurant
Rohit Chinese Food Corner,Maharaja Restaurant
Friends Restaurant & Catters,New Lovely Sweets
Shahi Muradabadi,Raj Enterprises
Wrapchick,Rock & Taste Food Point
Digpal Brother's Chick Chop Meat Shop,Bhardwaj Eating Corner
HYM365,Stack 9
Dolce Gelato,Orange Food Cart
Real Celebrations,Captain's Burger
Cafe Hot Pot,D Chilli Dragon
Mahamaya Caterers & Punjabi Dhaba,Flavours
The Mulberry Retreat,New Zaika Chicken Corner
Monica's Kitchen,Pao King
Food 'O' Clock Special,Roti Te Boti
Mahender Dhaba,Hukam
Hotel SPB 87,Kolcata Bengali Dhaba
Shree Ram Dhaba,Vaishno Rasoi
Haveli Restaurant,Mahak Biryani
V S Cafe,Delhi 6
Food Gallery,Maa Jagdamba Vaishno Dhaba
Yadav Food Court,Hot & Juicy
Cafe Fresca,See Bite
Metro Corner,Gautam Bakery
The Urban Dhaba,Laxmi Chinese Food
Zaika Hindustan,Bake.eat.love
Shri Adarsh Kulfi,Foodies
D Chilli Dragon,The Big Scoop
Chennai Xpress,New Bawarchi
Maa Jagdamba Vaishno Dhaba,UK Rasoi
Mughlai Changezi,China Pearl
Mr. Hot & Spicy,Cakes & More
Punjabi Zaika,Indian Khana Khajana
Fresco Bar & Lounge - Four Points by Sheraton,Delux Food - Chef Ka Kitchen
Sunny Restaurant & Tiffin,Shahi Zaika Chicken Corner
Cafe 11th hour,Gujarat Chicken
Aggarwal Restaurant,Gupta Bhojnalya
Mitra Da Dhaba,Kasur Khyon
Eat Meet Repeat,Murli Wala Sweets & Restaurant
Brother's Chicken Corner,Gulati Ki Rasoi
Dinesh Meat Wala,Alwar Sweets & Snacks
LolChef,CP Express
Arora Juice & Shake,Patiala Shahi Chicken & Fish Fry
Cafe,Kwality Wall's Swirl's
The Sholanke Chinese Fast Food,Hot Chilli Food Plaza
Snack Shack,AnnBox
Purranchand Ambala Wale,Pandey Ji Restaurant
Hunger Hut,China Town
Jagdamba Vaishno Dhaba,Café BTW
Space Food,Pushkar Bhojnalaya
Punjabi Tadka,Oberoi's Pure Meat Shop
Chinese Hut,Vasu Sweets
Quick Bite Chinese Food,Anaya Chicken Corner
Jai Shree Janta Dhaba,Dulce Carro
Pizza & Pasta Point,Shama Muradabadi Chicken Biryani
Chaska E Rasoi,Aapni Rasoi
My Granny's Kitchen,Navratnam Café & More
Bake.eat.love,Modern Food Court
Pizza Hot,Good to Go
Taste of Thanji,Arshi
Krishna Sweets & Snacks,Dhaba Express
Jagdamba Shakahari Bhojanalaya,Ovven
Paras Corner,Punjabi Dhaba
Dilli Biryani House,Wasim Biryani Centre
Zaika Fast Food,Mealss.com
Aggarwal's Caketeria,Shri Krishna Rasoi
Nazeer fresh,TimBukToo
Kathi House,Aggarwal Sweet Corner
Vaishno Dhaba,Motuu's Qila
Shahi Chicken Biryani Corner,New Karahi Express
Kitchen Key Restaurant,Right for Night
Satnaam Foods,Yaadgar Restaurant
The Night Owl,Subodh Dhaba
Punjabi Vaishno Dhaba,Online Meals
Mom's Bake,Love Triangle
Foodies Point,Kathi Rolls & Biryani
Pizza Hub,Mahesh Shudh Vaishno Bhojanalya
Apni Rasoi,Shahi Zeera
Shri Krishna Rasoi,The Delicious Kitchen
Yadav Hotel,Muskan Chicken Biryani
Mr. Confectioner,Smart Cook
Adhikari Chinese Fast Food,Sai Rasoi
Gopi Sweets & Caters,EDC Mania
Bansiwala Sweets & Caterers,Chill Out
Indianspoon,South Indian Delights
The Royal Prestige,The Yummy Tales
Spicy Chinese Food,Muradabadi Chicken Corner
Joost Juice Bar,Chow Story
Sweet Bakes,Punjabi Dhaba
Al-Karim,Grill Inn
Soni Food Court,Janta Dhaba
Food Junction,Shree Bhojnalaya
Raj Shri,Eeeter
Annapurna,Bacchuu Ram
New Frontier Namkeen House,Woodfired 1.0
Mogambo Kitchen,Tsopema Restaurant
Momo's Cafe,Shree Jee Food's
Pure Punjab,N E Great Foods
Ayush Dhaba,Chinese Food N Beverages
New Bharat Sweets,Cornet Chinese Chaska
Friend's Restaurant,Streetfood
Daily Fresh Food Box,Rani Foods Corner
A-ONE Chicken Corner,Shree Radhe Ki Rasoi
Papillon Fast Food,Shanki Paratha Junction
White Fumes,Sweet Bakes
Raman Pizza Zone,Hot Pot Snacks
TCW Chaat Point,Food Point
Mahadev Bakery,KC Chinese FastFood
The Food Blaze,Chill Grill
Sheetla Dhaba,TSM Foods
Flying Cakes,Mitra Da Dhaba
Aggarwal Sweets,Spice Treat
Singh's Ice Cream Parlour,Mahender Dhaba
Indian Rasoi,Shahi Muradabadi
Dilip Momos,Chacha Da Hotel
Cravings,Hot Chili
LMB Food Point,Pahadi Caterers
Guru Om Vanna,Icy Curls
Bombay Pao Bhaji,New Wah Ji Wah Food Corner
Taste of Punjab,Baketown By Gagan Bakers
